,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hithadhoo,68,MV,1534886804,100,-0.6,73.08,79.94,7.52
1,sao borja,20,BR,1534887183,61,-28.66,-56.0,54.65,6.17
2,raudeberg,92,NO,1534884600,76,61.99,5.14,57.2,9.17
3,bambous virieux,40,MU,1534881600,73,-20.34,57.76,69.8,10.29
4,oxapampa,92,PE,1534887183,100,-10.58,-75.4,53.12,2.37
5,ushuaia,75,AR,1534885200,70,-54.81,-68.31,48.2,19.46
6,abalak,0,NE,1534887183,50,15.46,6.28,83.27,11.54
7,albany,75,US,1534884840,54,42.65,-73.75,78.8,10.29
8,rikitea,0,PF,1534886788,100,-23.12,-134.97,71.48,13.56
9,cape town,0,ZA,1534881600,81,-33.93,18.42,46.4,2.24
10,vaini,92,IN,1534886787,98,15.34,74.49,70.04,7.18
11,faanui,76,PF,1534886833,100,-16.48,-151.75,77.24,17.36
12,khatanga,0,RU,1534886801,86,71.98,102.47,42.05,2.71
13,jawhar,92,IN,1534887184,99,19.91,73.23,73.82,8.19
14,mayo,92,CA,1534887184,70,63.59,-135.9,60.05,4.16
